Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
M,0.721,0.556,0.232,1.8835,0.9241,0.4221,0.4917,10
I,0.633,0.485,0.166,1.4504,0.6097,0.302,0.4527,9
I,0.511,0.413,0.138,0.6851,0.2975,0.1742,0.164,7
I,0.524,0.398,0.161,0.7795,0.2689,0.1985,0.2158,14
M,0.481,0.37,0.103,0.4661,0.2009,0.0982,0.1482,5
M,0.319,0.232,0.085,0.2268,0.1113,0.0503,0.0429,6
F,0.689,0.541,0.175,1.6784,0.7665,0.3291,0.4884,14
M,0.623,0.485,0.186,1.1569,0.5922,0.2567,0.2834,11
M,0.56,0.453,0.141,0.952,0.4137,0.2112,0.2414,11
F,0.511,0.396,0.143,0.6218,0.2549,0.1705,0.1534,9
M,0.546,0.425,0.15,1.0327,0.4807,0.2054,0.2793,9
I,0.531,0.411,0.152,0.7682,0.3257,0.2217,0.2169,8
M,0.462,0.375,0.092,0.6001,0.1902,0.1059,0.1929,9
F,0.517,0.384,0.127,0.6276,0.2583,0.1276,0.1741,10
M,0.537,0.421,0.124,0.6329,0.3727,0.0873,0.1438,6
F,0.59,0.473,0.163,1.0451,0.4168,0.1627,0.349,14
M,0.72,0.574,0.196,1.8855,0.9776,0.4355,0.4887,10
I,0.523,0.397,0.125,0.574,0.3701,0.0929,0.1441,10
I,0.512,0.399,0.113,0.5453,0.2002,0.0989,0.1792,10
I,0.493,0.386,0.136,0.505,0.2352,0.106,0.1092,9
M,0.717,0.545,0.203,1.7029,0.6401,0.4676,0.5574,16
M,0.574,0.485,0.176,0.9802,0.3564,0.1981,0.379,17
F,0.697,0.556,0.267,2.123,0.9844,0.5118,0.5892,13
F,0.209,0.143,0.065,0.0702,0.053,0.0202,0.0181,4
M,0.603,0.465,0.143,0.927,0.4198,0.1322,0.2685,8
F,0.629,0.484,0.189,1.3253,0.5923,0.2767,0.3506,8
I,0.075,0.055,0.042,0.0108,0.0119,0.0035,0.0015,4
M,0.736,0.592,0.217,2.0048,0.7753,0.4575,0.6739,16
F,0.459,0.349,0.133,0.4603,0.1555,0.0683,0.2551,12
I,0.486,0.355,0.133,0.5345,0.2453,0.12,0.1261,8
F,0.607,0.469,0.175,1.1926,0.4115,0.2714,0.4091,12
I,0.452,0.342,0.1,0.4433,0.1973,0.1031,0.1166,8
I,0.207,0.133,0.098,0.0757,0.0334,0.0245,0.0374,7
I,0.535,0.41,0.164,0.8886,0.2507,0.1969,0.3346,14
M,0.448,0.349,0.123,0.3083,0.0826,0.0907,0.1108,10
F,0.587,0.469,0.17,1.13,0.4752,0.1987,0.341,13
M,0.637,0.497,0.157,1.0997,0.5377,0.2854,0.3194,9
I,0.261,0.174,0.068,0.0633,0.0419,0.0266,0.0169,7
M,0.499,0.407,0.117,0.6327,0.2874,0.1152,0.1818,7
I,0.619,0.498,0.15,1.0074,0.5366,0.2269,0.296,10
M,0.428,0.316,0.123,0.3945,0.1339,0.0587,0.1562,8
M,0.588,0.477,0.196,1.2451,0.5102,0.2829,0.4396,13
M,0.633,0.503,0.191,1.6097,0.5827,0.3486,0.5367,18
M,0.741,0.597,0.259,2.319,1.1922,0.5355,0.5855,14
M,0.461,0.342,0.157,0.2483,0.0807,0.064,0.0967,11
I,0.355,0.267,0.056,0.1702,0.0677,0.0219,0.0724,8
F,0.368,0.25,0.07,0.202,0.1178,0.0414,0.0498,5
M,0.667,0.548,0.204,1.598,0.7228,0.3361,0.5464,10
I,0.351,0.251,0.064,0.2306,0.1241,0.0549,0.0642,5
I,0.429,0.344,0.127,0.359,0.1131,0.1106,0.0991,13
F,0.619,0.473,0.125,0.8224,0.4153,0.2078,0.1896,6
I,0.717,0.577,0.204,1.7306,0.71,0.3693,0.5567,14
M,0.487,0.345,0.109,0.5403,0.1899,0.1244,0.1539,12
F,0.597,0.455,0.171,0.9448,0.4283,0.2438,0.2336,11
F,0.628,0.49,0.213,1.2682,0.5704,0.2778,0.3764,10
F,0.573,0.44,0.134,0.9311,0.3938,0.2116,0.2854,11
F,0.613,0.495,0.209,1.4092,0.535,0.3608,0.4005,12
M,0.549,0.395,0.151,0.9191,0.4079,0.1268,0.2494,7
F,0.593,0.469,0.125,1.1372,0.4855,0.2235,0.3012,10
I,0.419,0.346,0.105,0.2989,0.0934,0.0753,0.0926,7
M,0.499,0.399,0.137,0.5986,0.2327,0.1518,0.2046,16
M,0.568,0.448,0.147,1.083,0.4996,0.2948,0.3035,8
F,0.634,0.507,0.169,1.3907,0.6565,0.277,0.3756,10
I,0.497,0.392,0.117,0.4786,0.2053,0.1372,0.1301,7
M,0.554,0.441,0.114,0.8826,0.3799,0.2371,0.2107,9
I,0.535,0.401,0.163,0.7944,0.3099,0.1377,0.2624,12
M,0.549,0.414,0.144,0.491,0.1467,0.1179,0.2098,11
F,0.448,0.372,0.088,0.2185,0.1046,0.0472,0.0746,5
F,0.504,0.398,0.102,0.4078,0.1596,0.085,0.1566,7
F,0.668,0.537,0.204,1.6216,0.6381,0.3029,0.5362,13
M,0.521,0.382,0.149,0.7059,0.2674,0.1098,0.2383,12
I,0.442,0.376,0.164,0.5632,0.2398,0.1065,0.172,8
I,0.142,0.083,0.049,0.0475,0.0228,0.0123,0.0148,4
M,0.499,0.414,0.127,0.6384,0.2909,0.1224,0.1811,7
I,0.454,0.371,0.135,0.5346,0.2031,0.0959,0.1832,10
M,0.567,0.45,0.154,0.8924,0.3249,0.1494,0.3026,12
M,0.653,0.52,0.198,1.4617,0.6245,0.3126,0.3787,10
F,0.523,0.392,0.158,0.6552,0.3326,0.1582,0.1663,11
M,0.412,0.363,0.127,0.3664,0.1939,0.1012,0.0834,7
M,0.364,0.282,0.101,0.2551,0.0721,0.0444,0.1121,10
I,0.652,0.492,0.171,1.5307,0.655,0.2944,0.4691,16
I,0.478,0.397,0.124,0.726,0.2689,0.1478,0.14,10
F,0.522,0.41,0.134,0.655,0.2879,0.1623,0.1916,8
M,0.6,0.462,0.138,1.1243,0.4528,0.2278,0.3705,10
M,0.592,0.474,0.145,0.9996,0.4424,0.1657,0.3094,10
F,0.295,0.228,0.094,0.1471,0.0741,0.0387,0.0513,6
F,0.477,0.371,0.107,0.4465,0.1745,0.0945,0.1531,11
M,0.658,0.531,0.196,1.6504,0.8555,0.3096,0.4353,10
I,0.203,0.159,0.06,0.0553,0.039,0.0138,0.0102,6
M,0.585,0.431,0.164,0.9342,0.4115,0.2105,0.2565,7
I,0.639,0.494,0.147,1.141,0.4999,0.2702,0.3118,9
M,0.365,0.251,0.079,0.2149,0.1052,0.054,0.072,12
M,0.551,0.399,0.154,0.7952,0.4065,0.1796,0.1866,8
M,0.55,0.424,0.153,0.8665,0.334,0.158,0.2823,10
I,0.49,0.377,0.125,0.4827,0.1899,0.0918,0.1281,11
M,0.539,0.439,0.154,0.9685,0.4328,0.2067,0.2772,12
M,0.512,0.404,0.122,0.6081,0.218,0.1412,0.1423,8
M,0.605,0.48,0.187,1.2063,0.5802,0.2527,0.3596,11
M,0.495,0.401,0.144,0.7399,0.2929,0.1611,0.2359,12
I,0.503,0.418,0.128,0.6637,0.259,0.1313,0.1967,10
M,0.515,0.386,0.107,0.5682,0.3059,0.1392,0.1395,6
M,0.641,0.512,0.162,1.1457,0.4446,0.3217,0.3144,15
F,0.568,0.447,0.12,0.7638,0.3597,0.174,0.2895,7
I,0.506,0.402,0.162,0.8279,0.3434,0.1717,0.2053,12
M,0.613,0.495,0.147,1.0926,0.4901,0.2536,0.3185,11
M,0.574,0.467,0.15,1.1128,0.4756,0.2453,0.2483,10
M,0.367,0.302,0.084,0.2198,0.0663,0.0531,0.1006,8
I,0.459,0.33,0.102,0.2831,0.1681,0.0783,0.1056,5
I,0.199,0.152,0.076,0.0804,0.0363,0.008,0.0567,9
F,0.667,0.532,0.195,1.5966,0.6821,0.3562,0.423,14
M,0.538,0.406,0.116,0.6727,0.3228,0.1755,0.194,13
F,0.525,0.383,0.129,0.595,0.2244,0.1026,0.2149,10
M,0.551,0.414,0.149,0.8776,0.3703,0.1376,0.2156,12
M,0.311,0.199,0.094,0.2245,0.0883,0.0661,0.0568,10
F,0.425,0.318,0.088,0.4538,0.259,0.0899,0.0997,12
M,0.623,0.494,0.161,1.2501,0.541,0.3344,0.309,12
I,0.49,0.39,0.139,0.5844,0.2643,0.1314,0.1689,7
I,0.486,0.364,0.099,0.4149,0.1871,0.0605,0.121,10
M,0.637,0.497,0.186,1.2114,0.4122,0.3061,0.3871,13
M,0.404,0.303,0.092,0.2898,0.0703,0.0627,0.1622,12
F,0.674,0.531,0.202,1.4826,0.5631,0.3356,0.4479,12
M,0.544,0.444,0.126,0.7973,0.294,0.152,0.2481,15
M,0.678,0.532,0.173,1.69,0.7497,0.4166,0.4507,8
I,0.616,0.472,0.153,1.1392,0.4239,0.2507,0.3397,9
I,0.522,0.346,0.149,0.5974,0.2433,0.0809,0.1668,11
M,0.556,0.441,0.161,0.8499,0.3792,0.2316,0.2259,8
I,0.523,0.386,0.118,0.6049,0.1755,0.1336,0.2285,12
F,0.632,0.501,0.162,1.4297,0.5436,0.3445,0.4251,12
M,0.497,0.381,0.152,0.7074,0.2796,0.1936,0.1876,10
I,0.291,0.23,0.058,0.0795,0.0438,0.0341,0.0177,5
F,0.692,0.56,0.178,1.7735,0.8997,0.3585,0.4753,12
I,0.639,0.512,0.153,1.3397,0.6747,0.2512,0.4229,9
F,0.54,0.442,0.149,0.847,0.404,0.1711,0.2273,11
I,0.511,0.386,0.135,0.5125,0.2533,0.1262,0.138,7
I,0.46,0.377,0.093,0.3726,0.1805,0.0863,0.1095,7
F,0.628,0.509,0.133,1.1834,0.5979,0.1831,0.3258,11
M,0.578,0.467,0.153,0.8607,0.5289,0.1839,0.2048,8
M,0.719,0.578,0.248,2.0238,0.7896,0.3915,0.7079,21
F,0.699,0.543,0.194,1.8287,0.872,0.4019,0.4969,9
F,0.572,0.455,0.16,0.9531,0.4606,0.176,0.26,11
M,0.743,0.588,0.227,2.2864,1.0659,0.4754,0.6963,19
I,0.458,0.375,0.12,0.4012,0.1796,0.1161,0.1078,11
M,0.51,0.409,0.141,0.4066,0.1871,0.099,0.1172,6
M,0.527,0.388,0.17,0.7543,0.305,0.2045,0.2375,13
F,0.636,0.503,0.147,1.2494,0.5687,0.2145,0.3652,13
I,0.529,0.413,0.117,0.8417,0.3793,0.135,0.1926,11
M,0.657,0.528,0.189,1.5292,0.753,0.3288,0.3858,13
M,0.494,0.38,0.151,0.6414,0.2519,0.1359,0.1647,12
M,0.529,0.404,0.139,0.6959,0.3272,0.1454,0.2474,9
M,0.557,0.444,0.172,0.8427,0.3241,0.1707,0.3251,13
M,0.654,0.505,0.189,1.4247,0.5237,0.324,0.4604,14
M,0.347,0.264,0.079,0.2366,0.1693,0.0352,0.0452,5
I,0.577,0.465,0.149,1.0491,0.4632,0.2363,0.3095,12
I,0.743,0.592,0.214,1.9099,0.9761,0.4515,0.5348,11
F,0.361,0.266,0.092,0.357,0.2094,0.0788,0.0831,7
I,0.329,0.281,0.037,0.0786,0.0536,0.0123,0.0254,5
M,0.485,0.398,0.089,0.5352,0.1754,0.1278,0.1688,11
M,0.512,0.423,0.154,0.795,0.3258,0.1606,0.2498,8
F,0.598,0.492,0.157,1.2827,0.5014,0.2595,0.3509,14
M,0.544,0.448,0.138,0.8663,0.3797,0.1919,0.2426,13
M,0.573,0.433,0.154,0.8404,0.4136,0.1432,0.2446,11
M,0.543,0.408,0.123,0.6561,0.4216,0.1489,0.1257,6
I,0.456,0.365,0.104,0.406,0.1854,0.1063,0.1394,10
M,0.571,0.446,0.167,0.8048,0.3026,0.2265,0.2674,14
M,0.6,0.479,0.175,0.9814,0.396,0.249,0.3059,13
F,0.503,0.375,0.119,0.5021,0.2427,0.1195,0.1167,7
M,0.612,0.487,0.148,1.1877,0.5271,0.274,0.2696,7
F,0.528,0.412,0.111,0.6522,0.3534,0.1188,0.1616,8
F,0.537,0.451,0.134,0.7859,0.2586,0.1871,0.2445,12
M,0.566,0.433,0.137,1.0405,0.418,0.2157,0.3109,9
M,0.562,0.446,0.168,0.9474,0.3436,0.1586,0.3171,12
M,0.63,0.525,0.174,1.4844,0.601,0.3302,0.3735,13
M,0.547,0.44,0.145,0.8248,0.338,0.22,0.2241,9
I,0.418,0.341,0.117,0.2929,0.1194,0.0533,0.071,8
I,0.599,0.471,0.158,1.0855,0.4002,0.2254,0.3968,10
F,0.539,0.448,0.147,1.002,0.4056,0.1713,0.2807,12
F,0.633,0.481,0.18,1.3805,0.5321,0.2974,0.4038,14
M,0.693,0.54,0.174,1.5033,0.689,0.4111,0.4716,8
I,0.474,0.315,0.113,0.3723,0.142,0.1123,0.1667,7
I,0.385,0.296,0.118,0.1941,0.0898,0.0378,0.0809,10
I,0.519,0.392,0.127,0.6083,0.2442,0.1309,0.223,9
I,0.347,0.276,0.089,0.3477,0.1266,0.0709,0.1004,11
I,0.396,0.306,0.086,0.2652,0.1294,0.0558,0.0752,6
F,0.627,0.477,0.16,1.2491,0.5682,0.3012,0.2618,7
F,0.428,0.323,0.066,0.2765,0.1127,0.0434,0.0646,6
F,0.21,0.218,0.059,0.0811,0.0345,0.0173,0.0346,7
I,0.451,0.36,0.124,0.4715,0.2105,0.0843,0.1371,7
I,0.451,0.335,0.1,0.479,0.2541,0.1118,0.1052,9
M,0.525,0.406,0.122,0.4959,0.2223,0.0978,0.1511,9
I,0.577,0.459,0.17,1.0723,0.3969,0.2329,0.3119,17
M,0.472,0.373,0.128,0.4404,0.2302,0.1297,0.0946,9
M,0.462,0.373,0.106,0.5954,0.2027,0.1191,0.1802,7
I,0.518,0.406,0.132,0.6086,0.2386,0.1064,0.213,7
I,0.173,0.114,0.038,0.0386,0.0237,0.007,0.0064,3
M,0.621,0.512,0.183,1.2666,0.6064,0.3012,0.3003,12
I,0.497,0.378,0.113,0.4837,0.2051,0.11,0.1538,9
M,0.598,0.471,0.179,1.0688,0.4252,0.2286,0.3191,9
M,0.538,0.433,0.133,0.7515,0.3299,0.1698,0.2008,13
F,0.642,0.507,0.153,1.3729,0.5873,0.2775,0.4035,10
M,0.57,0.424,0.159,0.9875,0.3599,0.1801,0.2761,14
I,0.348,0.266,0.138,0.3797,0.1898,0.0984,0.0979,7
I,0.51,0.405,0.137,0.4976,0.2769,0.0852,0.171,11
I,0.6,0.47,0.159,0.9984,0.4895,0.2321,0.2902,8
I,0.075,0.055,0.001,0.0041,0.0033,0.0006,0.0015,4
M,0.642,0.504,0.202,1.4386,0.588,0.3388,0.4376,16
I,0.315,0.273,0.068,0.1962,0.0559,0.0505,0.0653,8
I,0.618,0.49,0.175,1.1157,0.3699,0.2697,0.4456,15
M,0.332,0.226,0.093,0.1563,0.0554,0.0407,0.0576,9
F,0.545,0.406,0.142,0.746,0.3112,0.1736,0.2572,11
F,0.672,0.53,0.191,1.6607,0.7926,0.3517,0.4265,10
F,0.634,0.496,0.16,1.1494,0.5798,0.2899,0.2822,7
F,0.323,0.218,0.07,0.1168,0.0367,0.0221,0.0587,8
M,0.573,0.45,0.156,1.1707,0.5076,0.2695,0.3927,13
M,0.562,0.439,0.155,0.7079,0.2642,0.1739,0.2022,8
I,0.545,0.408,0.119,0.5587,0.2855,0.1313,0.1465,6
F,0.522,0.395,0.151,0.4906,0.1822,0.1168,0.1337,7
F,0.611,0.474,0.143,0.9833,0.4572,0.1729,0.3176,11
I,0.327,0.247,0.085,0.192,0.0895,0.024,0.055,7
F,0.485,0.388,0.126,0.428,0.2362,0.065,0.1366,8
I,0.417,0.313,0.091,0.2661,0.1189,0.061,0.0862,8
I,0.601,0.486,0.157,0.879,0.3449,0.1965,0.2255,11
I,0.352,0.28,0.101,0.2733,0.1037,0.0559,0.0948,8
M,0.56,0.449,0.158,0.789,0.3385,0.1537,0.2907,10
I,0.512,0.379,0.154,0.5781,0.2743,0.1561,0.1656,6
I,0.331,0.255,0.066,0.1428,0.0901,0.0417,0.0357,5
F,0.709,0.579,0.224,1.8503,0.7291,0.3472,0.6254,21
I,0.546,0.417,0.127,0.7835,0.3486,0.1796,0.2138,11
I,0.451,0.363,0.139,0.4825,0.2562,0.0957,0.1513,11
I,0.511,0.398,0.135,0.6821,0.2535,0.1091,0.2253,9
M,0.656,0.529,0.194,1.6849,0.8289,0.3682,0.4713,12
I,0.308,0.222,0.076,0.1926,0.0985,0.0291,0.0541,6
F,0.62,0.493,0.19,1.4058,0.6058,0.3176,0.4051,8
I,0.612,0.466,0.174,1.0198,0.4655,0.2205,0.2697,8
I,0.671,0.506,0.197,1.7449,0.798,0.365,0.4946,11
M,0.733,0.593,0.244,2.1734,0.9861,0.5471,0.5756,21
I,0.543,0.438,0.167,0.6399,0.3927,0.1616,0.1536,8
I,0.573,0.433,0.151,0.8079,0.3871,0.1637,0.2339,13
F,0.413,0.286,0.121,0.3761,0.1557,0.071,0.0996,9
F,0.472,0.358,0.127,0.6387,0.252,0.1353,0.1544,11
F,0.629,0.508,0.181,1.2078,0.4367,0.2854,0.3944,19
I,0.392,0.306,0.102,0.2788,0.1131,0.0481,0.0832,9
M,0.406,0.309,0.068,0.2344,0.1101,0.0696,0.0374,9
I,0.549,0.433,0.127,0.8225,0.41,0.1822,0.2112,5
M,0.634,0.478,0.186,1.246,0.4445,0.3305,0.3121,13
M,0.512,0.4,0.114,0.5272,0.2471,0.0873,0.1589,8
F,0.655,0.524,0.18,1.4797,0.76,0.2685,0.3596,9
I,0.326,0.291,0.079,0.1969,0.0584,0.0448,0.0601,5
F,0.402,0.344,0.091,0.4206,0.2216,0.078,0.0957,7
M,0.614,0.474,0.137,1.2761,0.6058,0.2994,0.2548,10
M,0.653,0.496,0.203,1.5096,0.6622,0.3289,0.4888,14
I,0.267,0.207,0.096,0.1501,0.0534,0.0337,0.0783,10
F,0.553,0.41,0.127,0.7407,0.3983,0.1344,0.1644,6
M,0.333,0.246,0.046,0.1519,0.0607,0.0428,0.0245,7
I,0.291,0.17,0.066,0.144,0.0822,0.029,0.0427,5
M,0.566,0.476,0.182,0.9593,0.4513,0.1902,0.2816,9
M,0.372,0.278,0.067,0.1758,0.0784,0.0478,0.0623,5
M,0.439,0.34,0.116,0.3435,0.0998,0.1192,0.1783,13
M,0.579,0.434,0.14,0.7792,0.3699,0.167,0.2652,17
I,0.202,0.087,0.068,0.0699,0.0335,0.0163,0.0152,5
M,0.598,0.476,0.186,0.9831,0.3787,0.1681,0.306,9
I,0.416,0.309,0.124,0.4137,0.1463,0.1043,0.1874,16
F,0.526,0.403,0.142,0.5747,0.2113,0.174,0.1571,11
F,0.606,0.487,0.149,1.0431,0.4257,0.2111,0.3336,16
I,0.606,0.486,0.158,1.2731,0.553,0.2758,0.3742,12
I,0.574,0.465,0.168,1.2132,0.4196,0.2729,0.3444,16
F,0.612,0.472,0.144,1.1002,0.5448,0.1893,0.3355,9
M,0.435,0.342,0.112,0.4655,0.233,0.0915,0.1269,7
M,0.595,0.449,0.177,0.9908,0.3947,0.2611,0.3239,9
M,0.689,0.562,0.17,1.6802,0.6443,0.3598,0.5061,16
I,0.513,0.372,0.14,0.6588,0.2136,0.1329,0.1777,18
F,0.411,0.358,0.128,0.3942,0.1325,0.1016,0.1397,6
I,0.577,0.458,0.155,1.0228,0.3913,0.2425,0.3349,13
F,0.383,0.267,0.097,0.2359,0.1016,0.0566,0.1124,6
F,0.603,0.477,0.184,1.0556,0.3969,0.2827,0.3117,14
M,0.612,0.501,0.169,1.2253,0.4626,0.2547,0.3699,14
M,0.577,0.477,0.153,0.8761,0.3908,0.2134,0.251,14
M,0.554,0.423,0.099,0.5384,0.2062,0.1431,0.1945,7
F,0.428,0.354,0.108,0.3902,0.2387,0.082,0.0997,6
F,0.669,0.536,0.177,1.7443,0.6572,0.3767,0.5099,12
I,0.362,0.309,0.105,0.2569,0.0658,0.0571,0.1021,13
F,0.464,0.358,0.094,0.3853,0.2354,0.0964,0.1132,6
M,0.658,0.499,0.14,1.2928,0.59,0.2981,0.3357,9
I,0.378,0.266,0.091,0.2944,0.1446,0.0649,0.1167,12
F,0.576,0.454,0.164,0.8244,0.4316,0.1937,0.2483,8
M,0.725,0.565,0.222,1.9959,0.9633,0.4176,0.5601,14
F,0.495,0.381,0.122,0.4379,0.1553,0.1294,0.1193,8
M,0.694,0.559,0.182,1.8041,0.8181,0.4113,0.4893,14
F,0.61,0.495,0.158,0.8856,0.3778,0.1991,0.325,11
I,0.255,0.223,0.072,0.0702,0.0356,0.0128,0.028,8
I,0.318,0.212,0.083,0.1493,0.0404,0.0235,0.055,10
I,0.208,0.122,0.075,0.0966,0.0331,0.0274,0.0232,6
F,0.499,0.412,0.12,0.6409,0.2563,0.1371,0.2455,10
M,0.498,0.422,0.154,0.7431,0.3692,0.1704,0.2341,7
M,0.656,0.53,0.203,1.4679,0.5793,0.3463,0.4659,14
M,0.527,0.424,0.127,0.6447,0.3318,0.1406,0.2037,11
I,0.622,0.477,0.155,1.0766,0.3997,0.1853,0.3666,18
M,0.385,0.275,0.12,0.311,0.1049,0.0754,0.083,10
F,0.652,0.495,0.173,1.5482,0.6694,0.3613,0.43,15
M,0.491,0.401,0.133,0.7181,0.2035,0.1434,0.2733,14
I,0.586,0.461,0.158,0.9816,0.505,0.1714,0.2451,7
I,0.41,0.335,0.129,0.2243,0.1257,0.0742,0.0627,5
I,0.508,0.383,0.08,0.4732,0.2888,0.1364,0.0995,6
M,0.363,0.31,0.108,0.3244,0.1739,0.0733,0.0787,6
I,0.573,0.441,0.144,1.1663,0.4756,0.2289,0.3,5
I,0.483,0.354,0.108,0.4511,0.1869,0.1403,0.127,9
F,0.608,0.473,0.178,0.9751,0.4118,0.1504,0.4053,13
F,0.489,0.4,0.137,0.5763,0.1924,0.1616,0.1804,9
M,0.657,0.524,0.18,1.4531,0.5494,0.3706,0.3661,11
I,0.474,0.391,0.157,0.4996,0.1932,0.1231,0.1799,14
M,0.684,0.533,0.213,1.7655,0.7721,0.367,0.5243,16
M,0.545,0.416,0.185,0.9795,0.4407,0.2174,0.2123,11
F,0.561,0.437,0.133,0.8378,0.4104,0.1526,0.2965,11
M,0.481,0.403,0.137,0.5161,0.1746,0.1049,0.1928,8
M,0.589,0.472,0.158,1.0281,0.4148,0.2251,0.2705,18
I,0.544,0.445,0.147,0.6885,0.2071,0.156,0.2362,14
M,0.523,0.424,0.129,0.6404,0.2603,0.1453,0.164,10
F,0.476,0.35,0.117,0.4727,0.1507,0.1342,0.1464,7
I,0.533,0.415,0.122,0.6147,0.2468,0.1331,0.1706,7
I,0.559,0.419,0.144,0.88,0.3385,0.2164,0.2972,11
M,0.539,0.427,0.157,0.7537,0.3412,0.1591,0.2385,10
F,0.623,0.476,0.164,1.0945,0.5086,0.1851,0.3312,11
M,0.618,0.494,0.19,1.1807,0.6122,0.2838,0.3832,13
M,0.756,0.602,0.248,2.333,1.0352,0.5086,0.7234,15
M,0.603,0.442,0.158,1.0611,0.4599,0.2519,0.258,11
M,0.653,0.528,0.2,1.6179,0.7022,0.3547,0.4972,13
M,0.73,0.578,0.24,2.2751,1.0324,0.4551,0.6498,12
F,0.542,0.429,0.134,0.8357,0.3342,0.1977,0.2504,11
I,0.337,0.173,0.096,0.1764,0.0639,0.0429,0.0566,11
I,0.497,0.38,0.117,0.5434,0.2348,0.1371,0.1276,10
M,0.488,0.367,0.145,0.6526,0.2519,0.1361,0.174,9
I,0.544,0.444,0.158,0.8138,0.3451,0.1878,0.1852,12
M,0.6,0.476,0.179,1.1773,0.608,0.2303,0.2999,11
F,0.645,0.495,0.162,1.4207,0.5714,0.3095,0.3785,12
M,0.629,0.488,0.181,1.092,0.5309,0.2014,0.3185,11
F,0.666,0.549,0.204,1.5732,0.6569,0.3779,0.4533,11
M,0.526,0.401,0.133,0.8614,0.3986,0.1725,0.2117,9
F,0.545,0.439,0.128,0.7602,0.3827,0.1594,0.1727,8
F,0.619,0.506,0.169,0.9584,0.5267,0.2397,0.2781,11
M,0.634,0.481,0.178,1.2289,0.5637,0.2579,0.293,14
M,0.6,0.471,0.162,1.094,0.5435,0.2561,0.2978,13
I,0.389,0.307,0.091,0.2122,0.0808,0.0445,0.0949,7
I,0.712,0.567,0.205,2.0073,0.9283,0.4801,0.4625,14
F,0.521,0.415,0.143,0.6895,0.3186,0.18,0.1976,10
F,0.493,0.364,0.121,0.4267,0.1918,0.1139,0.1308,11
I,0.416,0.298,0.126,0.3445,0.1329,0.0558,0.1187,9
I,0.46,0.315,0.111,0.475,0.188,0.0816,0.1382,6
M,0.667,0.548,0.173,1.7778,0.6797,0.4193,0.5383,17
I,0.596,0.438,0.138,0.9669,0.4828,0.2457,0.2721,6
M,0.564,0.446,0.134,0.9689,0.4588,0.1794,0.2311,6
M,0.57,0.483,0.178,1.0645,0.3529,0.2158,0.3871,16
M,0.612,0.502,0.169,1.2543,0.5203,0.2381,0.3882,12
I,0.608,0.447,0.167,1.0279,0.4597,0.2374,0.3143,5
F,0.464,0.399,0.131,0.4384,0.2158,0.0964,0.117,8
I,0.564,0.43,0.123,0.798,0.346,0.1702,0.2475,10
I,0.601,0.459,0.197,1.1609,0.4344,0.2088,0.3525,14
M,0.645,0.508,0.163,1.2573,0.5096,0.2226,0.4374,11
M,0.694,0.542,0.218,1.7912,0.7981,0.4437,0.4668,15
M,0.52,0.424,0.133,0.82,0.3546,0.1856,0.2243,9
M,0.587,0.443,0.16,1.0257,0.4327,0.2064,0.256,15
I,0.639,0.486,0.19,1.4679,0.6686,0.3248,0.3252,10
I,0.42,0.306,0.105,0.3419,0.1395,0.0766,0.1088,8
M,0.5,0.411,0.141,0.7282,0.2779,0.1215,0.277,12
M,0.441,0.337,0.108,0.4715,0.2147,0.1023,0.1333,13
M,0.517,0.418,0.153,0.6979,0.2834,0.123,0.1823,9
M,0.332,0.25,0.072,0.1566,0.0921,0.0184,0.0441,7
F,0.569,0.467,0.156,1.1182,0.4387,0.2324,0.281,10
M,0.714,0.554,0.236,1.9683,0.7934,0.4569,0.5694,19
F,0.52,0.382,0.112,0.7548,0.2868,0.1474,0.2089,11
F,0.538,0.414,0.143,0.783,0.408,0.1044,0.2151,11
I,0.647,0.506,0.154,1.3576,0.5158,0.32,0.3424,12
F,0.636,0.503,0.184,1.1003,0.5183,0.187,0.3195,7
I,0.349,0.236,0.128,0.2332,0.091,0.066,0.0725,9
I,0.665,0.518,0.168,1.3607,0.5331,0.281,0.3635,16
F,0.481,0.394,0.121,0.6896,0.2904,0.1533,0.1327,8
I,0.384,0.292,0.12,0.3099,0.0718,0.0724,0.1144,12
F,0.371,0.29,0.121,0.2004,0.0675,0.0546,0.0811,10
I,0.397,0.248,0.082,0.202,0.0974,0.0426,0.061,7
F,0.618,0.516,0.169,1.3607,0.5815,0.282,0.3208,13
F,0.544,0.437,0.134,0.7815,0.3602,0.1401,0.2395,10
I,0.528,0.416,0.131,0.6457,0.2124,0.173,0.2552,13
I,0.518,0.363,0.153,0.8091,0.4116,0.1814,0.229,8
M,0.567,0.455,0.181,1.2025,0.5143,0.2664,0.309,11
M,0.334,0.293,0.117,0.2345,0.0797,0.0576,0.1074,9
M,0.621,0.465,0.147,0.9004,0.4653,0.1942,0.3003,10
F,0.489,0.388,0.11,0.7162,0.3615,0.1533,0.1623,10
M,0.633,0.482,0.177,1.1909,0.5149,0.2727,0.3282,16
M,0.506,0.406,0.126,0.4523,0.2387,0.0864,0.157,9
F,0.45,0.346,0.155,0.2949,0.1376,0.09,0.1153,7
F,0.544,0.414,0.134,0.703,0.3246,0.1384,0.2289,7
M,0.562,0.427,0.156,0.833,0.3727,0.197,0.2771,7
M,0.581,0.482,0.127,0.945,0.4167,0.1911,0.2587,10
